Course,Grade,Gender,DROP
225,2,0,1
240,4,1,1
240,4,1,1
240,4,1,1
240,4,1,1
240,4,0,1
240,4,1,1
240,4,1,1
240,3,1,1
240,3,1,1
240,3,1,1
240,3,1,1
240,3,1,1
240,3,1,1
240,3,1,1
240,3,1,1
240,2,0,1
240,2,1,1
240,2,1,1
240,2,1,1
240,2,1,1
240,2,1,1
240,2,1,1
240,2,1,1
240,2,0,1
240,2,1,1
240,1,0,1
240,0,1,1
241,4,1,1
241,4,1,1
241,4,1,1
241,4,1,1
241,3,1,1
241,3,0,1
241,3,1,1
241,3,1,1
241,3,1,1
241,2,1,1
241,2,1,1
241,2,1,1
241,2,1,1
241,2,1,1
241,1,0,1
242,4,1,1
242,0,1,1
243,2,1,1
244,4,1,1
244,4,0,1
244,4,0,1
244,4,0,1
244,4,1,1
244,4,1,1
244,4,1,1
244,4,1,1
244,4,0,1
244,4,0,1
244,4,1,1
244,3,0,1
244,3,0,1
244,3,1,1
244,3,1,1
244,3,0,1
244,3,1,1
244,3,0,1
244,3,1,1
244,3,0,1
244,3,1,1
244,3,1,1
244,3,1,1
244,3,1,1
244,3,0,1
244,2,0,1
244,2,1,1
244,2,0,1
244,2,1,1
244,2,1,1
244,2,0,1
244,2,1,1
244,2,1,1
244,2,0,1
244,1,1,1
244,1,1,1
244,1,0,1
244,-1,0,1
244,-1,0,1
245,4,0,1
245,4,0,1
245,4,0,1
245,4,0,1
245,4,1,1
245,4,0,1
245,4,0,1
245,4,0,1
245,3,1,1
245,3,0,1
245,3,1,1
245,3,0,1
245,3,0,1
245,3,1,1
245,3,0,1
245,3,1,1
245,3,1,1
245,3,1,1
245,3,1,1
245,3,0,1
245,3,1,1
245,3,0,1
245,3,1,1
245,3,1,1
245,2,1,1
245,2,1,1
245,2,1,1
245,2,0,1
245,2,1,1
245,2,0,1
245,2,1,1
245,2,0,1
245,2,1,1
245,2,1,1
245,2,1,1
245,2,0,1
245,2,0,1
245,2,0,1
245,2,1,1
245,2,1,1
245,2,1,1
245,2,0,1
245,1,0,1
245,1,0,1
245,1,1,1
245,1,1,1
245,1,1,1
245,1,0,1
245,0,0,1
245,0,0,1
246,4,1,1
246,4,0,1
246,4,0,1
246,4,0,1
246,4,1,1
246,4,0,1
246,4,1,1
246,4,0,1
246,4,1,1
246,3,0,1
246,3,1,1
246,3,0,1
246,3,1,1
246,3,0,1
246,3,1,1
246,3,0,1
246,2,1,1
246,2,1,1
246,2,1,1
246,2,1,1
246,2,1,1
246,2,1,1
246,2,1,1
246,2,0,1
246,2,1,1
246,2,0,1
246,2,1,1
246,1,0,1
246,1,1,1
246,1,1,1
246,0,0,1
246,0,0,1
246,0,1,1
246,0,1,1
246,-1,0,1
247,4,0,1
247,4,0,1
247,3,0,1
247,3,0,1
247,3,1,1
247,3,1,1
247,3,0,1
247,3,0,1
247,3,1,1
247,2,0,1
247,2,1,1
247,2,0,1
247,2,1,1
247,2,0,1
247,2,1,1
247,1,0,1
247,1,0,1
247,1,0,1
247,1,1,1
247,0,1,1
247,0,1,1
250,4,1,1
250,4,0,1
250,4,1,1
250,4,1,1
250,4,1,1
250,4,1,1
250,3,1,1
250,3,1,1
250,3,1,1
250,3,1,1
250,3,1,1
250,3,1,1
250,3,0,1
250,3,1,1
250,3,0,1
250,3,0,1
250,3,0,1
250,3,0,1
250,2,0,1
250,2,1,1
250,2,0,1
250,2,0,1
250,2,0,1
250,2,0,1
250,2,1,1
250,2,0,1
250,2,1,1
250,2,0,1
250,2,0,1
250,2,1,1
250,2,1,1
250,2,1,1
250,2,1,1
250,2,0,1
250,1,0,1
250,1,0,1
250,1,1,1
250,1,1,1
250,1,1,1
250,1,1,1
250,1,0,1
250,1,0,1
250,1,1,1
250,0,0,1
250,0,1,1
250,0,1,1
250,0,1,1
250,0,1,1
255,4,0,1
255,4,1,1
255,4,0,1
255,3,0,1
255,3,1,1
255,3,0,1
255,3,1,1
255,3,1,1
255,2,1,1
255,2,1,1
255,2,0,1
255,2,0,1
255,2,1,1
255,2,1,1
255,2,1,1
255,1,0,1
255,0,0,1
255,0,0,1
255,-1,1,1
300,3,0,1
300,3,1,1
300,3,1,1
300,2,0,1
300,1,0,1
300,0,1,1
320,2,1,1
320,2,0,1
320,-1,0,1
325,0,1,1
328,4,0,1
328,4,1,1
328,3,1,1
328,3,0,1
328,3,0,1
328,3,0,1
328,2,1,1
328,2,0,1
